piece,dataset,bpm,ibi_cv,ibi_range
hainsworth/hainsworth_017,hainsworth,136.36363636363623,0.010841265484563033,0.02272727272727626
hainsworth/hainsworth_047,hainsworth,67.076579094466,0.012029999044365263,0.030743432084967392
hainsworth/hainsworth_122,hainsworth,67.55514708210762,0.10733089975018545,0.2389297386669134
hainsworth/hainsworth_243,hainsworth,150.00000000000054,0.029531056747821277,0.05071428700001064
hainsworth/hainsworth_228,hainsworth,103.44827586206927,0.022872198020352442,0.0517241379310366
hainsworth/hainsworth_015,hainsworth,136.36363636363652,0.01290712789378937,0.022727272727276305
hainsworth/hainsworth_040,hainsworth,128.2051282051282,0.00520055294458736,0.012179487179486076
hainsworth/hainsworth_170,hainsworth,92.30769230769226,0.010059174387648992,0.030769230769230098
hainsworth/hainsworth_176,hainsworth,101.69491525423732,0.010717002753072878,0.03389830508474542
hainsworth/hainsworth_163,hainsworth,92.30769230769226,0.013427527784819353,0.03076923076923454
hainsworth/hainsworth_139,hainsworth,139.53488372093034,0.15316945145826302,0.32558139534883707
hainsworth/hainsworth_089,hainsworth,133.3333333333346,0.022514290565462548,0.06666666666666983
hainsworth/hainsworth_021,hainsworth,103.44827586206927,0.014912983201294347,0.03344827586206959
hainsworth/hainsworth_025,hainsworth,71.51370679380219,0.021088338922563777,0.05220500595947712
hainsworth/hainsworth_037,hainsworth,128.47965738758063,0.024555204388482858,0.06167023554604559
hainsworth/hainsworth_083,hainsworth,117.64705882352987,0.024264214397529446,0.05882352941176107
hainsworth/hainsworth_104,hainsworth,266.65323089920605,0.021607700230892587,0.044442205149874625
hainsworth/hainsworth_064,hainsworth,116.9590643274852,0.012911986913740908,0.029239766081870244
hainsworth/hainsworth_147,hainsworth,95.23809523809538,0.016526323309072038,0.03174603174603676
hainsworth/hainsworth_127,hainsworth,65.23346979472132,0.2538641702777975,0.3270795335879058
hainsworth/hainsworth_073,hainsworth,77.2200772200772,0.020079153526645376,0.04504504504504408
hainsworth/hainsworth_205,hainsworth,44.53833139548724,0.07808115308825393,0.15780472844914242
hainsworth/hainsworth_128,hainsworth,58.25242718446616,0.08646378898587757,0.2098188147572808
hainsworth/hainsworth_157,hainsworth,136.36363636363652,0.009756249798680313,0.022727272727276305
hainsworth/hainsworth_167,hainsworth,65.2173913043477,0.005261934435189167,0.010869565217392983
hainsworth/hainsworth_145,hainsworth,96.77419354838722,0.027595859311946073,0.08064516129032168
hainsworth/hainsworth_164,hainsworth,98.36065573770559,0.01462965170066635,0.03278688524590262
hainsworth/hainsworth_181,hainsworth,89.55223880596992,0.011900387158793548,0.022388059701499957
hainsworth/hainsworth_111,hainsworth,109.09090909090965,0.04496726914150244,0.09985157672726695
hainsworth/hainsworth_125,hainsworth,71.77734377979058,0.15581054733618088,0.22773437516776318
hainsworth/hainsworth_012,hainsworth,107.38636358450098,0.16972492792470203,0.2671347382914417
hainsworth/hainsworth_188,hainsworth,113.20754716981108,0.03683957198630467,0.09433962264151392
hainsworth/hainsworth_240,hainsworth,124.99999999999989,0.052765812854650165,0.08333333333334629
hainsworth/hainsworth_108,hainsworth,149.9999999999992,0.02593802992453561,0.05000000000001199
hainsworth/hainsworth_146,hainsworth,82.19178082191776,0.010293016244882948,0.02739726027397611
hainsworth/hainsworth_186,hainsworth,99.99999999999991,0.0090384142944129,0.03333333333333019
hainsworth/hainsworth_149,hainsworth,187.49999999999983,0.02477553498045642,0.06250000000000416
hainsworth/hainsworth_080,hainsworth,125.00000000000081,0.022491403554328764,0.06249999999999537
hainsworth/hainsworth_174,hainsworth,130.4347826086954,0.018510984147898188,0.021739130434802138
hainsworth/hainsworth_086,hainsworth,133.3333333333325,0.025907495206355494,0.06666666666666878
hainsworth/hainsworth_041,hainsworth,104.89510489510472,0.005790365463569556,0.013986013986013976
hainsworth/hainsworth_244,hainsworth,98.05629158060701,0.03682053930774346,0.08700550375582931
hainsworth/hainsworth_229,hainsworth,117.64705882352987,0.01753464493624185,0.03921568627450934
hainsworth/hainsworth_241,hainsworth,75.00000000000027,0.03325189072052361,0.09125000000000123
hainsworth/hainsworth_221,hainsworth,81.21546963569449,0.0547191394491201,0.13392265155080754
hainsworth/hainsworth_138,hainsworth,193.548387096775,0.25241742365691694,0.6774193548387224
hainsworth/hainsworth_079,hainsworth,151.89873417721398,0.02334122995291173,0.05822784810126457
hainsworth/hainsworth_143,hainsworth,122.44897959183713,0.026730428642465866,0.06326530612244415
hainsworth/hainsworth_183,hainsworth,96.77419354838715,0.014098995852303115,0.03225806451613409
hainsworth/hainsworth_098,hainsworth,136.36363636363598,0.023376728401289144,0.06818181818181855
hainsworth/hainsworth_066,hainsworth,130.4347826086954,0.01278142307916106,0.0410869565217402
hainsworth/hainsworth_062,hainsworth,139.53488372093034,0.03990545329010652,0.09627906976744398
hainsworth/hainsworth_189,hainsworth,60.0,0.02540906599033426,0.06299999999999928
hainsworth/hainsworth_065,hainsworth,98.68421052631628,0.02132057080415381,0.05263157894735978
hainsworth/hainsworth_050,hainsworth,117.64705882352946,0.016221663938713826,0.0392156862745055
hainsworth/hainsworth_097,hainsworth,89.55223880597087,0.01899927039705721,0.04477611940298713
hainsworth/hainsworth_082,hainsworth,107.14285714285671,0.02427569653690274,0.053571428571430386
hainsworth/hainsworth_208,hainsworth,105.26315789473679,0.032628472986114314,0.08771929824561095
hainsworth/hainsworth_121,hainsworth,70.55247440291853,0.04766414166626997,0.11535836225713644
hainsworth/hainsworth_068,hainsworth,100.50251256281385,0.012779997685492376,0.034170854271358526
